date,code,market_cap,next_ret,benchmark_ret,is_st,listed_days,tradable,amount
2015-01-30,sh.600257,313027.65,0.07366985,0.040313709,0,3677,1,42416.934
2015-01-30,sh.600258,404024.4,-0.021191294,0.040313709,0,3677,1,72908.778
2015-01-30,sh.600259,1557008.5,-0.069360269,0.040313709,0,3677,1,588574.08
2015-01-30,sh.600261,916760.98,0.012671595,0.040313709,0,3677,1,111014.93
2015-01-30,sh.600262,362440,0.076454034,0.040313709,0,3677,1,38243.455
2015-01-30,sh.600265,140054.2,0.050046339,0.040313709,1,3677,1,9667.068
2015-01-30,sh.600266,2985211.2,-0.017847769,0.040313709,0,3677,1,443584.08
2015-01-30,sh.600267,1660714.8,0.043604651,0.040313709,0,3677,1,199533.57
2015-01-30,sh.600268,508197.15,0.03875,0.040313709,0,3677,1,123776.76
2015-01-30,sh.600269,1137343.2,-0.026694045,0.040313709,0,3677,1,95022.015
2015-01-30,sh.600271,3427660.8,0.077586207,0.040313709,0,3677,1,541646.15
2015-01-30,sh.600272,401193,0.10660206,0.040313709,0,3677,1,126094.72
2015-01-30,sh.600273,1372905.8,0.14367269,0.040313709,0,3677,1,299148.45
2015-01-30,sh.600276,6126919.4,-0.0085973962,0.040313709,0,3677,1,179212.29
2015-01-30,sh.600278,688314.61,0.10015175,0.040313709,0,3677,1,85743.753
2015-01-30,sh.600279,664778.26,0.032661571,0.040313709,0,3677,1,199493.05
2015-01-30,sh.600280,763642.69,0.033834586,0.040313709,0,3677,1,59902.048
2015-01-30,sh.600281,307098.01,0.14572864,0.040313709,0,3677,1,27617.998
2015-01-30,sh.600282,1488288.9,-0.078125,0.040313709,1,3677,1,169384.55
2015-01-30,sh.600283,388334.13,0.094783248,0.040313709,0,3677,1,81855.133
2015-01-30,sh.600284,801154.24,-0.0077854671,0.040313709,0,3677,1,172972.18
2015-01-30,sh.600285,469688.63,0.017103763,0.040313709,0,3677,1,199288.76
2015-01-30,sh.600287,583559.55,0.12649701,0.040313709,0,3677,1,371263.12
2015-01-30,sh.600288,747801.6,-0.016939252,0.040313709,0,3677,1,433836.33
2015-01-30,sh.600289,600286.65,0.17296786,0.040313709,0,3677,1,158694.99
2015-01-30,sh.600292,1470938.9,0.00040832993,0.040313709,0,3677,1,1116582.4
2015-01-30,sh.600293,,0,0.040313709,0,3677,0,
2015-01-30,sh.600295,910224,0.066893424,0.040313709,0,3677,1,31330.944
2015-01-30,sh.600298,702446.6,-0.0229939,0.040313709,0,3677,1,235580.91
2015-01-30,sh.600299,,0.055327869,0.040313709,1,3677,0,
2015-01-30,sh.600300,899536,0.022304833,0.040313709,0,3677,1,74602.211
2015-01-30,sh.600301,207635.81,0.064552661,0.040313709,1,3677,1,21745.676
2015-01-30,sh.600302,233556.62,0.18814815,0.040313709,0,3677,1,35069.791
2015-01-30,sh.600303,344279.98,0.12612613,0.040313709,0,3677,1,43178.058
2015-01-30,sh.600305,571395.62,0.012658228,0.040313709,0,3677,1,61133.595
2015-01-30,sh.600307,2423919.3,0.031007752,0.040313709,0,3677,1,35106.863
2015-01-30,sh.600308,513727.02,0.061363636,0.040313709,0,3677,1,69575.892
2015-01-30,sh.600309,4696591,0.0073664825,0.040313709,0,3677,1,370364.94
2015-01-30,sh.600310,522877.88,-0.063852243,0.040313709,0,3677,1,176928.38
2015-01-30,sh.600312,2110035.7,0.07115903,0.040313709,0,3677,1,321798.2
2015-01-30,sh.600313,535137.52,0.1592313,0.040313709,0,3677,1,151918.43
2015-01-30,sh.600315,2581888.2,-0.0083333333,0.040313709,0,3677,1,251165.35
2015-01-30,sh.600316,2123376.1,0.1009794,0.040313709,0,3677,1,382369.08
2015-01-30,sh.600319,190618.78,0.07615894,0.040313709,0,3677,1,42828.819
2015-01-30,sh.600320,2779056.5,0.031595577,0.040313709,0,3677,1,203480.33
2015-01-30,sh.600322,486508,0.025,0.040313709,0,3677,1,53364.373
2015-01-30,sh.600323,1064443.4,0.087542088,0.040313709,0,3677,1,265302.01
2015-01-30,sh.600325,1036013.8,0.034700315,0.040313709,0,3677,1,419053.58
2015-01-30,sh.600326,484819.2,0.060948081,0.040313709,0,3677,1,257248.08
2015-01-30,sh.600327,396500.98,0.043421053,0.040313709,0,3677,1,80080.576
2015-01-30,sh.600328,347267.14,0.068252327,0.040313709,0,3677,1,61480.331
2015-01-30,sh.600329,1184372.6,0.02247191,0.040313709,0,3677,1,79536.139
2015-01-30,sh.600330,661145.95,0.093228656,0.040313709,0,3677,1,57445.42
2015-01-30,sh.600331,1300480,0.021875,0.040313709,0,3677,1,91578.79
2015-01-30,sh.600332,3867565.2,0.041736227,0.040313709,0,3677,1,407683.52
2015-01-30,sh.600333,417870.03,0.051964512,0.040313709,0,3677,1,68062.248
2015-01-30,sh.600335,1395399.2,-0.0098876404,0.040313709,1,3677,1,109079.62
2015-01-30,sh.600336,398330.05,0.034246575,0.040313709,0,3677,1,75858.745
2015-01-30,sh.600337,702704.65,0.10211592,0.040313709,0,3677,1,46650.021
2015-01-30,sh.600338,233066.67,0.086277174,0.040313709,0,3677,1,17243.261
2015-01-30,sh.600339,348627.28,0.013266998,0.040313709,0,3677,1,53436.475
2015-01-30,sh.600340,6233409.2,0.025466893,0.040313709,1,3677,1,523335.69
2015-01-30,sh.600343,1198551.5,0.073482428,0.040313709,0,3677,1,259373.97
2015-01-30,sh.600345,310068,0.079182631,0.040313709,0,3677,1,28892.133
2015-01-30,sh.600346,260727.21,0.024498886,0.040313709,0,3677,1,54027.815
2015-01-30,sh.600348,2094755,-0.017221584,0.040313709,0,3677,1,173768.7
2015-01-30,sh.600350,2391149.4,-0.0020120724,0.040313709,0,3677,1,117808.9
2015-01-30,sh.600351,653940,0.025396825,0.040313709,0,3677,1,55618.507
2015-01-30,sh.600352,3647438.8,0.036073826,0.040313709,0,3677,1,1191561.5
2015-01-30,sh.600353,241139.82,0.073280722,0.040313709,0,3677,1,28224.165
2015-01-30,sh.600354,420933.96,-0.078723404,0.040313709,0,3677,1,297623.99
2015-01-30,sh.600355,222916.41,0.12362031,0.040313709,0,3677,1,311798.2
2015-01-30,sh.600356,219504.49,0.016393443,0.040313709,0,3677,1,25301.708
2015-01-30,sh.600358,390096,0.03986711,0.040313709,0,3677,1,113285.97
2015-01-30,sh.600359,432635.54,-0.024691358,0.040313709,0,3677,1,46024.962
2015-01-30,sh.600360,377158.88,0.064579256,0.040313709,0,3677,1,60233.468
2015-01-30,sh.600361,430111.91,0.057275542,0.040313709,0,3677,1,47768.83
2015-01-30,sh.600362,6084015.6,0.028457598,0.040313709,0,3677,1,332426.89
2015-01-30,sh.600363,471415.79,0.063029163,0.040313709,0,3677,1,121839.28
2015-01-30,sh.600366,972400.75,0.14497354,0.040313709,0,3677,1,190051.85
2015-01-30,sh.600367,334588.8,0.1818973,0.040313709,0,3677,1,207356.13
2015-01-30,sh.600368,467762.66,0.13190731,0.040313709,0,3677,1,75149.235
2015-01-30,sh.600369,4931002.8,0.10875787,0.040313709,1,3677,1,528775.64
2015-01-30,sh.600370,228649.65,0.061366806,0.040313709,0,3677,1,17740.415
2015-01-30,sh.600371,253090.2,0.016168149,0.040313709,0,3677,1,76014.414
2015-01-30,sh.600372,4883436.3,0.033501441,0.040313709,1,3677,1,366160.07
2015-01-30,sh.600373,1925502.2,0.13251366,0.040313709,0,3677,1,231959.42
2015-01-30,sh.600375,607980.21,0.024680073,0.040313709,0,3677,1,94069.883
2015-01-30,sh.600376,2457245.7,-0.068430657,0.040313709,0,3677,1,1324425.5
2015-01-30,sh.600377,3596951.7,0.0070028011,0.040313709,0,3677,1,80744.421
2015-01-30,sh.600378,415476.22,0.047925608,0.040313709,0,3677,1,26964.797
2015-01-30,sh.600379,286567.79,0.18436214,0.040313709,0,3677,1,26967.186
2015-01-30,sh.600380,1159376.9,0.172,0.040313709,0,3677,1,92605.576
2015-01-30,sh.600381,533121.02,0.12089552,0.040313709,1,3677,1,261774.51
2015-01-30,sh.600382,559439.18,-0.04642639,0.040313709,0,3677,1,556531.07
2015-01-30,sh.600383,4293839.1,-0.0094142259,0.040313709,0,3677,1,552237.69
2015-01-30,sh.600386,472953.6,0.046035806,0.040313709,0,3677,1,110139.38
2015-01-30,sh.600388,1379502.1,0.10818351,0.040313709,0,3677,1,279670.33
2015-01-30,sh.600389,565092,0.093202523,0.040313709,0,3677,1,31586.853
2015-01-30,sh.600390,468788.99,0.055833333,0.040313709,0,3677,1,63799.406
2015-01-30,sh.600391,987416.94,0.030424607,0.040313709,0,3677,1,194353.18
2015-01-30,sh.600392,1161619,-0.01749838,0.040313709,1,3677,1,204930.39
2015-01-30,sh.600395,1833797.5,0.022563177,0.040313709,0,3677,1,135355.07
2015-01-30,sh.600396,556813.87,-0.0046801872,0.040313709,0,3677,1,80205.447
2015-01-30,sh.600397,507849.42,0.07797271,0.040313709,0,3677,1,48220.929
2015-01-30,sh.600398,5211599.2,0.14655172,0.040313709,0,3677,1,113746.59
2015-01-30,sh.600399,1415960,-0.015056923,0.040313709,0,3677,1,305777.6
2015-01-30,sh.600400,346887.38,0.18739903,0.040313709,0,3677,1,88236.518
2015-01-30,sh.600403,1448832.3,0.01980198,0.040313709,0,3677,1,33763.641
2015-01-30,sh.600405,442967.98,0.076555024,0.040313709,0,3677,1,76967.195
2015-01-30,sh.600406,3893612.2,0.017467249,0.040313709,0,3677,1,614695.11
2015-01-30,sh.600408,355400.4,0.02266289,0.040313709,0,3677,1,48068.776
2015-01-30,sh.600409,1482158.8,0.0099875156,0.040313709,0,3677,1,519997.61
2015-01-30,sh.600410,1671290,0.0015349194,0.040313709,0,3677,1,1422848.8
2015-01-30,sh.600415,3644231.9,0.10604929,0.040313709,0,3677,1,319092.49
2015-01-30,sh.600416,853095.33,0.096291013,0.040313709,0,3677,1,223670.01
2015-01-30,sh.600418,1615126.6,0.15433572,0.040313709,0,3677,1,204515.06
2015-01-30,sh.600419,175111.34,0.043413912,0.040313709,0,3677,1,12157.143
2015-01-30,sh.600420,743790.84,-0.03172147,0.040313709,0,3677,1,89938.683
2015-01-30,sh.600421,156675.6,0.21473159,0.040313709,0,3677,1,40620.076
2015-01-30,sh.600422,951412.06,-0.037289351,0.040313709,0,3677,1,100311.69
2015-01-30,sh.600425,853471.06,0.0032310178,0.040313709,0,3677,1,59930.275
2015-01-30,sh.600426,1028961.4,0.0074142725,0.040313709,0,3677,1,240187.88
2015-01-30,sh.600428,1085266.6,0.012461059,0.040313709,0,3677,1,154138.73
2015-01-30,sh.600429,790305,0.070548712,0.040313709,0,3677,1,63031.31
2015-01-30,sh.600433,1738999.1,0.06091718,0.040313709,0,3677,1,295610.17
2015-01-30,sh.600435,1989731.5,-0.004491018,0.040313709,0,3677,1,626467.48
2015-01-30,sh.600436,1574577.5,0.023398386,0.040313709,0,3677,1,188040.92
2015-01-30,sh.600438,,0,0.040313709,0,3677,0,
2015-01-30,sh.600439,467887.32,0.024193548,0.040313709,0,3677,1,96258.233
2015-01-30,sh.600444,148785,0.14608327,0.040313709,0,3677,1,24470.457
2015-01-30,sh.600446,1794367.8,0.15336788,0.040313709,0,3677,1,353576.41
2015-01-30,sh.600448,284673.4,0.054896142,0.040313709,0,3677,1,43042.989
