date,code,open,high,low,close,preclose,volume,amount
2015-10-16,sh.000300,3508.518,3537.539,3487.104,3534.065,3486.815,20896470900,252211491386.0
2015-10-19,sh.000300,3548.952,3572.994,3502.504,3534.182,3534.065,20760674400,254890985147.0
2015-10-20,sh.000300,3527.875,3577.798,3510.437,3577.703,3534.182,17902510800,226525577194.0
2015-10-21,sh.000300,3580.838,3601.243,3417.412,3473.254,3577.703,28207605000,326886985805.0
2015-10-22,sh.000300,3453.201,3530.766,3442.306,3524.534,3473.254,18430558000,223583606540.0
2015-10-23,sh.000300,3536.843,3581.836,3515.822,3571.241,3524.534,19829447800,247059685203.0
2015-10-26,sh.000300,3614.702,3620.756,3561.192,3589.261,3571.241,20424886300,270489759134.0
2015-10-27,sh.000300,3569.448,3601.053,3486.102,3592.879,3589.261,19205614000,239042538536.0
2015-10-28,sh.000300,3575.805,3598.172,3517.21,3524.92,3592.879,17097709800,213303023833.0
2015-10-29,sh.000300,3539.978,3561.814,3507.966,3533.306,3524.92,12701044600,161051885808.0
2015-10-30,sh.000300,3530.223,3574.473,3497.568,3534.079,3533.306,13914191400,183317149529.0
2015-11-02,sh.000300,3489.225,3543.45,3474.712,3475.962,3534.079,13000256800,167455101934.0
2015-11-03,sh.000300,3484.722,3501.704,3452.62,3465.493,3475.962,10140187600,132231502584.0
2015-11-04,sh.000300,3477.159,3628.538,3477.159,3628.538,3465.493,20542386500,266955889953.0
2015-11-05,sh.000300,3630.782,3781.408,3627.301,3705.97,3628.538,39804656800,495138171518.0
2015-11-06,sh.000300,3698.342,3801.705,3694.657,3793.374,3705.97,29875307600,389779446699.0
2015-11-09,sh.000300,3796.379,3891.773,3796.379,3840.355,3793.374,35680482300,463161707601.0
2015-11-10,sh.000300,3806.668,3876.49,3798.821,3833.238,3840.355,28651960300,380910629424.0
2015-11-11,sh.000300,3828.448,3843.112,3781.41,3833.646,3833.238,23223429600,307008336072.0
2015-11-12,sh.000300,3841.738,3843.9,3771.274,3795.324,3833.646,21753764700,302446791881.0
2015-11-13,sh.000300,3756.204,3793.713,3727.585,3746.242,3795.324,20348989100,281961129453.0
2015-11-16,sh.000300,3682.735,3764.409,3680.073,3764.126,3746.242,16169090100,227483711616.0
2015-11-17,sh.000300,3790.426,3852.774,3750.156,3758.387,3764.126,24853307100,365138598381.0
2015-11-18,sh.000300,3760.456,3771.847,3706.31,3715.58,3758.387,18568949500,254137953313.0
2015-11-19,sh.000300,3725.622,3775.232,3714.675,3774.969,3715.58,15463198900,204557606993.0
2015-11-20,sh.000300,3778.884,3793.545,3757.026,3774.383,3774.969,18695168900,242295089781.0
